claudius-or-drusus.jpg_crop.jpg 8252349320[(96, 126), (100, 156), (106, 185), (113, 213), (122, 241), (136, 269), (156, 292), (182, 310), (210, 315), (239, 314), (265, 297), (286, 274), (302, 244), (311, 212), (316, 179), (321, 146), (323, 113), (112, 92), (129, 81), (149, 80), (168, 84), (186, 92), (220, 91), (239, 83), (259, 78), (279, 81), (295, 92), (203, 117), (204, 144), (205, 171), (206, 198), (187, 207), (196, 211), (206, 216), (215, 212), (222, 207), (134, 120), (145, 114), (160, 114), (172, 124), (158, 127), (144, 127), (236, 122), (248, 114), (263, 114), (275, 121), (264, 127), (249, 126), (166, 245), (179, 237), (192, 232), (203, 234), (212, 232), (224, 236), (239, 244), (227, 259), (216, 265), (205, 266), (194, 265), (180, 260), (172, 247), (192, 243), (203, 243), (213, 243), (231, 245), (214, 246), (204, 248), (194, 247)]
bronze-portrait-head-delos.jpg_crop.jpg 2727348348[(56, 129), (58, 167), (62, 204), (71, 239), (84, 272), (105, 301), (133, 321), (167, 333), (200, 336), (230, 331), (253, 316), (272, 292), (286, 262), (295, 230), (302, 197), (305, 164), (306, 132), (98, 102), (116, 84), (143, 75), (172, 76), (198, 86), (226, 87), (244, 78), (265, 76), (283, 81), (293, 97), (212, 113), (212, 139), (213, 163), (215, 189), (180, 204), (195, 209), (209, 214), (223, 210), (235, 203), (124, 121), (139, 113), (155, 113), (169, 122), (155, 125), (138, 125), (237, 121), (252, 112), (266, 113), (276, 122), (266, 125), (252, 124), (160, 256), (179, 243), (195, 236), (206, 240), (217, 237), (228, 245), (239, 261), (229, 270), (217, 272), (206, 272), (193, 272), (178, 267), (168, 254), (195, 250), (206, 251), (217, 251), (233, 259), (217, 252), (206, 253), (194, 251)]
claudius-1.jpg_crop.jpg 8252349320[(83, 135), (87, 168), (93, 201), (101, 233), (112, 265), (129, 294), (151, 318), (179, 337), (211, 344), (245, 341), (276, 323), (301, 299), (319, 268), (329, 233), (334, 196), (338, 160), (339, 123), (96, 98), (108, 77), (132, 69), (156, 73), (178, 84), (214, 85), (238, 73), (265, 70), (291, 76), (308, 97), (198, 112), (198, 138), (199, 163), (199, 189), (178, 205), (189, 210), (202, 214), (215, 209), (228, 203), (124, 123), (136, 112), (153, 112), (167, 125), (151, 131), (135, 131), (235, 124), (248, 110), (266, 109), (279, 120), (267, 129), (250, 129), (165, 256), (179, 243), (193, 236), (205, 239), (215, 235), (231, 242), (250, 257), (234, 266), (219, 269), (207, 269), (195, 268), (181, 265), (173, 255), (193, 251), (205, 253), (216, 251), (242, 254), (217, 252), (206, 253), (194, 251)]
athlete-pouring-oil.jpg_crop.jpg 2727348348[(80, 118), (82, 151), (85, 185), (90, 218), (100, 250), (116, 281), (139, 310), (166, 333), (198, 344), (233, 340), (266, 324), (294, 299), (316, 268), (331, 232), (337, 194), (341, 154), (344, 115), (98, 102), (112, 92), (133, 94), (154, 100), (175, 109), (206, 109), (229, 99), (253, 95), (278, 95), (298, 105), (189, 121), (187, 141), (184, 163), (182, 185), (161, 194), (172, 203), (186, 209), (203, 203), (218, 197), (122, 119), (134, 113), (148, 114), (162, 122), (148, 124), (134, 123), (230, 123), (244, 116), (259, 115), (274, 121), (260, 124), (244, 125), (145, 236), (162, 231), (178, 231), (191, 233), (205, 233), (231, 234), (259, 240), (234, 261), (209, 266), (194, 265), (180, 263), (163, 255), (153, 237), (178, 236), (191, 238), (205, 238), (251, 241), (207, 253), (193, 253), (180, 250)]
blond-boy.jpg_crop.jpg 8252349320[(101, 133), (105, 166), (111, 198), (119, 230), (128, 261), (140, 289), (159, 312), (184, 328), (213, 333), (244, 328), (273, 311), (296, 287), (312, 257), (320, 224), (325, 189), (328, 155), (328, 120), (113, 105), (125, 90), (144, 84), (164, 85), (182, 93), (216, 91), (238, 79), (263, 75), (288, 82), (304, 101), (198, 116), (198, 140), (198, 163), (198, 187), (181, 206), (191, 208), (202, 211), (214, 209), (226, 206), (132, 125), (143, 115), (158, 115), (172, 126), (157, 130), (142, 130), (236, 123), (249, 109), (266, 108), (281, 116), (268, 124), (251, 125), (162, 252), (175, 243), (189, 237), (201, 240), (213, 236), (229, 240), (247, 249), (231, 260), (215, 266), (203, 267), (189, 267), (175, 263), (169, 252), (190, 248), (202, 249), (214, 247), (240, 249), (214, 248), (202, 250), (190, 249)]
bronze-male-head-herculaneum.jpg_crop.jpg 8252349320[(122, 139), (124, 166), (131, 194), (142, 222), (153, 251), (164, 279), (178, 303), (196, 321), (223, 327), (257, 324), (294, 310), (328, 287), (354, 259), (373, 224), (381, 186), (383, 146), (384, 105), (110, 100), (119, 89), (137, 89), (154, 92), (171, 100), (208, 101), (233, 89), (262, 85), (291, 88), (318, 100), (189, 121), (188, 148), (186, 175), (184, 203), (166, 209), (179, 218), (195, 223), (214, 215), (231, 207), (129, 124), (140, 118), (154, 118), (170, 126), (154, 128), (140, 128), (240, 123), (254, 114), (272, 113), (290, 118), (274, 123), (256, 125), (164, 247), (174, 237), (187, 234), (201, 238), (216, 232), (240, 234), (266, 244), (245, 261), (222, 270), (206, 271), (191, 270), (178, 263), (171, 248), (187, 245), (202, 246), (218, 244), (258, 245), (220, 252), (204, 253), (189, 251)]
corcyra-temple-artemis-west-pediment.jpg_crop.jpg 8252349320[(69, 151), (68, 182), (68, 212), (73, 244), (83, 274), (101, 301), (129, 322), (162, 337), (200, 340), (236, 334), (267, 314), (293, 290), (311, 261), (321, 230), (327, 199), (329, 170), (329, 141), (105, 101), (120, 83), (142, 70), (169, 64), (192, 72), (224, 73), (245, 65), (270, 69), (291, 80), (304, 97), (208, 106), (209, 122), (210, 137), (211, 154), (183, 187), (195, 189), (208, 191), (221, 188), (232, 185), (124, 129), (140, 121), (155, 120), (173, 126), (155, 129), (140, 129), (238, 124), (255, 117), (269, 117), (284, 123), (269, 125), (254, 125), (137, 241), (160, 223), (190, 216), (209, 217), (226, 213), (250, 216), (269, 232), (250, 261), (227, 272), (208, 275), (189, 275), (160, 268), (143, 241), (190, 229), (209, 229), (225, 227), (263, 234), (226, 258), (208, 261), (190, 262)]
athena-parthenos-head.jpg_crop.jpg 9268315291[(91, 119), (93, 150), (100, 180), (106, 211), (115, 243), (130, 273), (149, 299), (174, 320), (202, 325), (230, 321), (256, 303), (276, 278), (293, 249), (304, 218), (311, 187), (316, 155), (319, 122), (110, 105), (125, 93), (145, 91), (167, 95), (186, 103), (217, 103), (237, 93), (259, 87), (281, 89), (296, 101), (203, 122), (203, 148), (203, 176), (203, 203), (181, 210), (192, 215), (205, 220), (217, 215), (227, 209), (131, 123), (143, 117), (157, 117), (170, 124), (157, 127), (142, 129), (233, 123), (248, 115), (263, 115), (275, 120), (263, 126), (248, 125), (169, 253), (181, 244), (193, 240), (204, 244), (215, 240), (227, 244), (240, 253), (228, 264), (216, 268), (204, 268), (192, 267), (180, 263), (175, 252), (193, 249), (204, 251), (215, 250), (234, 252), (215, 249), (204, 250), (192, 248)]
claudius.jpg_crop.jpg 5252319320[(60, 116), (62, 153), (68, 189), (78, 224), (95, 254), (118, 281), (143, 302), (173, 318), (203, 321), (230, 317), (251, 298), (268, 272), (281, 244), (290, 214), (297, 183), (303, 152), (307, 121), (99, 95), (122, 85), (145, 81), (170, 81), (192, 90), (224, 89), (244, 84), (264, 84), (282, 90), (296, 99), (208, 118), (208, 146), (209, 174), (210, 201), (181, 208), (193, 213), (206, 218), (217, 213), (226, 207), (125, 118), (139, 110), (155, 111), (167, 121), (154, 123), (138, 122), (234, 122), (247, 112), (262, 113), (274, 121), (263, 124), (248, 124), (157, 250), (176, 240), (193, 234), (204, 236), (214, 233), (227, 239), (240, 248), (229, 262), (217, 268), (205, 269), (194, 269), (176, 264), (166, 251), (193, 247), (204, 246), (214, 246), (233, 249), (216, 249), (205, 250), (194, 249)]
augustus-0.jpg_crop.jpg 8252349320[(77, 113), (80, 147), (88, 181), (97, 214), (109, 245), (126, 274), (149, 298), (177, 317), (207, 322), (237, 318), (264, 296), (286, 269), (303, 236), (313, 202), (320, 168), (328, 133), (331, 96), (100, 105), (122, 98), (145, 97), (168, 99), (190, 105), (219, 104), (240, 97), (262, 93), (283, 93), (303, 101), (202, 122), (202, 152), (202, 181), (202, 210), (180, 216), (190, 222), (203, 226), (215, 222), (225, 216), (128, 121), (142, 117), (156, 116), (170, 123), (155, 125), (141, 126), (235, 121), (249, 114), (264, 113), (279, 117), (265, 123), (250, 123), (164, 251), (180, 248), (192, 245), (204, 249), (214, 245), (227, 248), (242, 251), (228, 263), (215, 268), (204, 269), (192, 269), (178, 264), (171, 252), (192, 253), (204, 255), (214, 253), (236, 252), (214, 254), (203, 255), (192, 254)]
